ProductID,Product Name,Year,Sales_units,AverageProductMass_kg,Category,Minimum_Lifespan,Maximum_Lifespan,Mean_Lifespan,Std_dev_Lifespan
4, CRT TV,2016,,,TV,,,,
4, CRT TV,2017,,,TV,,,,
4, CRT TV,2018,,,TV,,,,
5,Desktop CPU,1980,,,Computing,,,,
5,Desktop CPU,1981,,,Computing,,,,
5,Desktop CPU,1982,,,Computing,,,,
5,Desktop CPU,1983,,,Computing,,,,
5,Desktop CPU,1984,,,Computing,,,,
5,Desktop CPU,1985,,,Computing,,,,
5,Desktop CPU,1986,,,Computing,,,,
5,Desktop CPU,1987,,,Computing,,,,
5,Desktop CPU,1988,,,Computing,,,,
5,Desktop CPU,1989,,,Computing,,,,
5,Desktop CPU,1990,,,Computing,,,,
5,Desktop CPU,1991,,,Computing,,,,
5,Desktop CPU,1992,,,Computing,,,,
5,Desktop CPU,1993,,,Computing,,,,
5,Desktop CPU,1994,,,Computing,,,,
5,Desktop CPU,1995,,,Computing,,,,
5,Desktop CPU,1996,,,Computing,,,,
5,Desktop CPU,1997,,,Computing,,,,
5,Desktop CPU,1998,,,Computing,,,,
5,Desktop CPU,1999,,,Computing,,,,
5,Desktop CPU,2000,,,Computing,,,,
5,Desktop CPU,2001,,,Computing,,,,
5,Desktop CPU,2002,,,Computing,,,,
5,Desktop CPU,2003,,,Computing,,,,
5,Desktop CPU,2004,,,Computing,,,,
5,Desktop CPU,2005,,,Computing,,,,
5,Desktop CPU,2006,,,Computing,,,,
5,Desktop CPU,2007,,,Computing,,,,
5,Desktop CPU,2008,,,Computing,,,,
5,Desktop CPU,2009,,,Computing,,,,
5,Desktop CPU,2010,,,Computing,,,,
5,Desktop CPU,2011,,,Computing,,,,
5,Desktop CPU,2012,,,Computing,,,,
5,Desktop CPU,2013,,,Computing,,,,
5,Desktop CPU,2014,,,Computing,,,,
5,Desktop CPU,2015,,,Computing,,,,
5,Desktop CPU,2016,,,Computing,,,,
5,Desktop CPU,2017,,,Computing,,,,
5,Desktop CPU,2018,,,Computing,,,,
6,Digital camcorders,1985,,,Audio-visual,,,,
6,Digital camcorders,1986,,,Audio-visual,,,,
6,Digital camcorders,1987,,,Audio-visual,,,,
6,Digital camcorders,1988,,,Audio-visual,,,,
6,Digital camcorders,1989,,,Audio-visual,,,,
6,Digital camcorders,1990,,,Audio-visual,,,,
6,Digital camcorders,1991,,,Audio-visual,,,,
6,Digital camcorders,1992,,,Audio-visual,,,,
6,Digital camcorders,1993,,,Audio-visual,,,,
6,Digital camcorders,1994,,,Audio-visual,,,,
6,Digital camcorders,1995,,,Audio-visual,,,,
6,Digital camcorders,1996,,,Audio-visual,,,,
6,Digital camcorders,1997,,,Audio-visual,,,,
6,Digital camcorders,1998,,,Audio-visual,,,,
6,Digital camcorders,1999,,,Audio-visual,,,,
6,Digital camcorders,2000,,,Audio-visual,,,,
6,Digital camcorders,2001,,,Audio-visual,,,,
6,Digital camcorders,2002,,,Audio-visual,,,,
6,Digital camcorders,2003,,,Audio-visual,,,,
6,Digital camcorders,2004,,,Audio-visual,,,,
6,Digital camcorders,2005,,,Audio-visual,,,,
6,Digital camcorders,2006,,,Audio-visual,,,,
